categoryId,name,description,blockGroup,bitfieldPosition,enabled,inheritable,opaque,readOnly,decideMinPercent,decideMinVotes,websiteRequired,createdAt,modifiedAt,categoryTypeId
72,Academic Fraud,"Sites that promote educational fraud, including but not limited to plagiarism and cheating.",,47,y,n,n,n,70,5,y,1261077546,1261077493,1
58,Adult Themes,Sites that are adult in nature and are not defined in other rating categories. Note: This category should only be turned on if you want to be very restrictive on your network.,adult,40,y,n,n,n,60,3,y,1204910084,1204910084,1
1,Adware,Sites that distribute applications which display advertisements without user's knowledge or choice. Does NOT include sites which serve advertising.,school,0,y,n,n,y,90,5,y,1200348284,1205361508,1
2,Alcohol,"Sites about alcohol use, commercial and otherwise.","school,netgear",1,y,n,n,n,70,5,y,1200348290,1209579995,1
114,Allow List,,,72,y,n,y,n,1,1,n,1413240529,1413240529,4
76,Anime/Manga/Webcomic,"Sites that host online comics, cartoons and graphic novels.",,57,y,n,n,n,70,5,y,,,1
3,Auctions,Sites for buying and selling via auction.,,2,y,n,n,n,70,5,y,1200348296,1205361534,1
70,Automotive,"Sites about automobiles, including manufacturers, news, reviews and hobbyist information.",,48,y,n,n,n,70,5,y,,1205967992,1
90,Basic Botnet,,,64,y,n,y,n,1,1,n,1379025003,1379025003,2
94,Basic Malware,,,66,y,n,y,n,1,1,n,1379025003,1379025003,2
112,Block List,,,71,y,n,y,n,1,1,n,1413240529,1413240529,4
4,Blogs,"Sites that are personal or group journals, diaries or publications.",,3,y,n,n,n,70,5,y,1200348302,1205361546,1
119,BP,"Domains sent to Umbrella via BP Event notifications, based on the notification settings enabled within the BP dashboard.",,81,y,n,y,n,1,1,y,1418689429,1418689429,2
56,Business Services,"Sites for corporations and businesses of all sizes, especially company websites.",,32,y,n,n,n,70,5,y,,1205361559,1
5,Chat,Sites where you can chat in real-time with groups of people. Includes IRC and video chat sites.,netgear,4,y,n,n,n,70,5,n,1200348306,1209580018,1
104,Check Point,"Domains sent to Umbrella via Check Point Event notifications, based on the notification settings enabled within the Check Point dashboard.",,76,y,n,y,n,1,1,y,1409856613,1409856613,2
147,Cisco AMP Threat Grid,Malicious domains retrieved from the Cisco AMP Threat Grid API for your organization-specific and global data sets.,,96,y,n,y,n,1,1,y,1428353841,1428353841,2
6,Classifieds,Sites for buying and selling (or bartering) goods and services. Includes sites with real estate and housing listings.,,5,y,n,n,n,70,5,y,1200348313,1205361583,1
108,CounterTack,"Domains sent to Umbrella via CounterTack Event notifications, based on the notification settings enabled within the CounterTack dashboard.",,78,y,n,y,n,1,1,y,1409856613,1409856613,2
137,Custom Integration 1,,,91,y,n,y,n,1,1,y,1428353841,1428353841,2
135,Custom Integration 10,,,90,y,n,y,n,1,1,y,1428353841,1428353841,2
139,Custom Integration 2,,,92,y,n,y,n,1,1,y,1428353841,1428353841,2
141,Custom Integration 3,,,93,y,n,y,n,1,1,y,1428353841,1428353841,2
143,Custom Integration 4,,,94,y,n,y,n,1,1,y,1428353841,1428353841,2
145,Custom Integration 5,,,95,y,n,y,n,1,1,y,1428353841,1428353841,2
127,Custom Integration 6,,,86,y,n,y,n,1,1,y,1428353841,1428353841,2
129,Custom Integration 7,,,87,y,n,y,n,1,1,y,1428353841,1428353841,2
131,Custom Integration 8,,,88,y,n,y,n,1,1,y,1428353841,1428353841,2
133,Custom Integration 9,,,89,y,n,y,n,1,1,y,1428353841,1428353841,2
106,Cyphort,"Domains sent to Umbrella via Cyphort Event notifications, based on the notification settings enabled within the Cyphort dashboard.",,77,y,n,y,n,1,1,y,1409856613,1409856613,2
7,Dating,Sites for meeting other people.,netgear,6,y,n,n,n,70,5,y,1200348319,1209579949,1
176,DNS Tunneling VPN,VPN services that allow users to disguise their traffic by tunneling it through the DNS protocol. These can be used to bypass corporate policies regarding access and data transfer.,,110,y,n,y,n,1,1,n,1465419245,1465419245,2
83,Drive-by Downloads/Exploits,Websites and files that are designed to run code without user intervention.,,60,y,n,y,n,1,1,y,1369346794,1369346794,2
8,Drugs,Sites about illegal or recreational drug use.,"school,netgear",7,y,n,n,n,70,5,y,1200348321,1209580010,1
85,Dynamic DNS,Sites that are hosting dynamic DNS services. This technology can be used by attackers as an evasion technique against IP blacklisting.,,61,y,n,y,n,1,1,y,1369346794,1369346794,2
9,Ecommerce/Shopping,Sites that are online stores for products and services.,,8,y,n,n,n,70,5,y,1200348338,1205361716,1
52,Educational Institutions,"Sites for schools, covering all age levels and types.",,33,y,n,n,n,70,5,y,,1205361720,1
92,Enterprise Botnet,,,65,y,n,y,n,1,1,n,1379025003,1379025003,2
96,Enterprise Malware,,,67,y,n,y,n,1,1,n,1379025003,1379025003,2
10,File Storage,"Sites that offer space for hosting, sharing and backup of digital files.",bandwidth,9,y,n,n,n,70,5,y,1200348346,1205361728,1
55,Financial Institutions,"Sites for banks, brokerages, trusts and other financial organizations.",,34,y,n,n,n,70,5,y,,1205361762,1
102,FireEye,"Domains sent to Umbrella via FireEye Event notifications, based on the notification settings enabled within the FireEye dashboard.",,70,y,n,y,n,1,1,y,1384561125,1384561125,2
67,Forums/Message boards,"Sites with discussions, including bulletin boards, message boards and forums.",,49,y,n,n,n,70,5,y,,1206027758,1
11,Gambling,Sites that offer gambling or information about gambling.,"school,netgear",10,y,n,n,n,70,5,y,1200348353,1209579940,1
12,Games,"Sites that offer game play and information about games (news, tips, cheat codes).","bandwidth,school,netgear",11,y,n,n,n,70,5,y,1200348358,1209579987,1
74,German Youth Protection,"This category helps prevent viewing of youth-endangering content in Germany. Block pages for this category will include German text. You can override individual sites in the category to allow access, but you may then be providing access to content that is illegal pursuant to Section 4 Jugendmedienschutz-Staatsvertrag (JMStV). We do not guarantee compliance with German law.",,56,y,y,y,y,70,20,y,1291406487,1291939934,1
116,Global Whitelist,,,73,y,n,y,n,1,1,n,1413240530,1413240530,3
49,Government,"Sites operated by government agencies, including city, state, regional, county and federal levels.  Also includes .mil domains.",,35,y,n,n,n,70,5,y,,1205361794,1
13,Hate/Discrimination,"Sites that promote intolerance based on gender, age, race, nationality, religion, sexual orientation or other group identities.","school,netgear",12,y,n,n,n,70,5,y,1200348367,1209579958,1
14,Health and Fitness,Sites that offer information about health care and health services. Includes fitness related sites and information about health and fitness.,,13,y,n,n,n,70,5,y,1200348372,1205361805,1
89,High Risk Sites and Locations,Domains and hostnames that are matching against our predictive security algorithms from Cisco Umbrella Threat Intelligence.,,63,y,n,y,n,1,1,y,1369346794,1369346794,2
15,Humor,Sites that are intended to be funny or humorous.,,14,y,n,n,n,70,5,y,1200348377,1205361903,1
16,Instant Messaging,Sites that offer access or software to communicate in real-time with other individuals.,netgear,15,y,n,n,n,70,5,n,1200348384,1209580026,1
126,Internet Watch Foundation,"An organization dedicated to minimize the availability of potentially criminal Internet content, specifically images of child sexual abuse hosted anywhere, and criminally obscene adult content in the UK.",,85,y,n,y,y,1,1,y,,,1
17,Jobs/Employment,"Sites that offer job listings, resume services, interview coaching and similar employment-related services.",,16,y,n,n,n,70,5,y,1200348396,1205361921,1
60,Lingerie/Bikini,Sites displaying or dedicated to lingerie/bikini that could be considered adult-only.,adult,41,y,n,n,n,60,3,y,1204910084,1204910084,1
87,Mobile Threats,Threats that are designed to infect or adversely affect mobile devices such as phones and tablets.,,62,y,n,y,n,1,1,y,1369346794,1369346794,2
19,Movies,Sites that promote movies or offer movie watching online.,bandwidth,17,y,n,n,n,70,5,y,1200348408,1205361925,1
50,Music,"Sites about music, including news, band and fan information.",,36,y,n,n,n,70,5,y,,1205361933,1
172,Newly Seen Domains,Domains that have become active very recently. These are often used in new attacks.,,108,y,n,y,n,1,1,n,1465419245,1465419245,2
33,News/Media,"Sites that offer news and information, including newspapers, broadcasters and other publishers.",,18,y,n,n,n,70,5,y,,1205361938,1
69,Non-Profits,Sites for non-profit or charity organizations and services.,,50,y,n,n,n,70,5,y,,1205968085,1
63,Nudity,Sites that provide images or representations of nudity.,adult,42,y,n,n,n,60,3,y,1204910084,1204910084,1
